Name,Description,Price,Condition,AdPostedDate,SellerName
3 In 1 Laptop Cleaning Kit Monitor TV PC LED LCD S,Designed For: Computers, Laptops, Mobiles Safe for using on lcd surfaces. Helps restore and maintain brightness and clarity. Non-aerosol cleaner with pleasant fragrance removes fingerprints and smudges without harsh solvent. Ideal for flat panel displays, notebook computers, handheld devices and so on. Soft, lint-free microfiber cloth cleans, dries and polishes for a clear, non-streak finish. Compatible for laptop/lcd display/digital camera pda/smart phone/psp. Specifications of 3 in 1 Laptop Cl,रू. 199,| Brand New,2 years ago,Easy Shop
Laptop & Monitor Cleaning Kit,Designed For: Computers, Laptops, Mobiles Safe for using on lcd surfaces. Helps restore and maintain brightness and clarity. Non-aerosol cleaner with pleasant fragrance removes fingerprints and smudges without harsh solvent. Ideal for flat panel displays, notebook computers, handheld devices and so on. Soft, lint-free microfiber cloth cleans, dries and polishes for a clear, non-streak finish. Compatible for laptop/lcd display/digital camera pda/smart phone/psp,रू. 249,| Brand New,1 years ago,USoft Store
VGA Monitor Y Splitter, 1 Foot,VGA MIRROR CABLE sends an identical VGA signal to two separate VGA displays; Reliably transmits an identical signal to two separate monitors; VGA cables (sold separately) are required DUPLICATOR VGA Y-SPLITTER CABLE has a male connector that plugs directly into a computer; Two female VGA sockets on the cable connect to the VGA cables of two separate displays VIDEO RESOLUTION SUPPORT for 800×600 (SVGA), 1024×768 (XGA), 1600×1200 (UXGA), and 1080p for high resolution LCD and LED monitors; Audio,रू. 800,| Brand New,10 months ago,Birendra Shrestha
NB SINGLE Monitor Desk Mount Stand For Screens,NB North Bayou Monitor Desk Mount Stand Full Motion Swivel Monitor Arm with Gas Spring for 17-30''Computer Monitors(Within 4.4lbs to 19.8lbs) F80,रू. 4,500,| Brand New,3 months ago,Tech Store
NB North Bayou H80 Full Motion Monitor Desk Mount,About this item Fits: Most 17" to 27" Monitors & LCD/ LED TVS, Load 2Kg to 9Kg. VESA compliant 75 x 75, 100 x 100 mm Rotation 360° Swivel ±90° Tilt angle +85° to -30° Upright lift distance 260mm, Maximum height to centre of VESA mount 550mm Maximum extension 550mm,रू. 4,500,| Brand New,5 months ago,Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np
15 Inch Hitech Led Monitor With VGA & HDMI,Monitor Size : 15 inch FHD Monitor Viewing Angle : H160/V140 Max Brightness : 350cd/m2 Max Contrast Ratio : 100000:1 (DCR) Port : VGA, HDMI, Response Time : 5s Resolution : 1024X768 Colors : 16.7M (6-bit+Hi+FRC) Power Consumption : 12W,रू. 4,500,| Brand New,4 months ago,New One IT Store
15 Inch Lcd Monitor,Digital brand 15 inch monitor,रू. 4,500,| Brand New,7 months ago,Interactive World Pvt.Ltd
19" Samsung Monitor,19" Samsung SyncMaster 933sn Call@9741662270,रू. 4,500,| Like New,2 months ago,DpSharma@ComputerShop
NB SINGLE Monitor Desk Mount Stand For Screens,NB North Bayou Monitor Desk Mount Stand Full Motion Swivel Monitor Arm with Gas Spring for 17-30''Computer Monitors(Within 4.4lbs to 19.8lbs) F80,रू. 4,500,| Brand New,3 months ago,Tech Store
NB North Bayou H80 Full Motion Monitor Desk Mount,About this item Fits: Most 17" to 27" Monitors & LCD/ LED TVS, Load 2Kg to 9Kg. VESA compliant 75 x 75, 100 x 100 mm Rotation 360° Swivel ±90° Tilt angle +85° to -30° Upright lift distance 260mm, Maximum height to centre of VESA mount 550mm Maximum extension 550mm,रू. 4,500,| Brand New,5 months ago,Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np
15 Inch Hitech Led Monitor With VGA & HDMI,Monitor Size : 15 inch FHD Monitor Viewing Angle : H160/V140 Max Brightness : 350cd/m2 Max Contrast Ratio : 100000:1 (DCR) Port : VGA, HDMI, Response Time : 5s Resolution : 1024X768 Colors : 16.7M (6-bit+Hi+FRC) Power Consumption : 12W,रू. 4,500,| Brand New,4 months ago,New One IT Store
15 Inch Lcd Monitor,Digital brand 15 inch monitor,रू. 4,500,| Brand New,7 months ago,Interactive World Pvt.Ltd
19" Samsung Monitor,19" Samsung SyncMaster 933sn Call@9741662270,रू. 4,500,| Like New,2 months ago,DpSharma@ComputerShop
19 Inch LED MONITOR,Model No : PS -185 Size : 18.5 with HDMI port Max . Resolution : 1366×768 Dot Pixel :0.3mm Power Saving : VESA DPMS standard plug and play ▶️ Phone : 9851147655,रू. 6,200,| Brand New,1 years ago,Interactive World Pvt.Ltd
